SBD,HoTen,NgaySinh,KV,DT,UT,Toan,Van,Ly,Hoa,Sinh,Su,Dia,Anh,Nga,Phap,Trung,Duc,Nhat
ABC080678,Duong Thi Thang,4/6/1997,KV2-NT,Khong,Khong,6.5,6.75,6.5,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA
TLA041968,Nguyen Xuan Kiem,9/9/1997,KV2,Khong,Khong,7.25,NA,7.25,6.5,5,NA,NA,7.5,NA,NA,NA,NA,NA
SPB042266,Tran Hai Ha,2/6/1997,KV1,Khong,Khong,6,7.25,NA,6.5,NA,NA,NA,5.25,NA,NA,NA,NA,NA
TMA064630,Nguyen Thi Khoa,3/24/1997,KV2,Khong,Khong,8.5,NA,3.75,8.25,NA,NA,NA,4.25,NA,NA,NA,NA,NA
TMA081016,Nguyen Hai Thang,7/24/1997,KV2,Khong,Khong,3.5,NA,7,5.25,NA,8.25,NA,NA,NA,NA,NA,NA,NA
SPB043947,Le Van Giang,4/30/1997,KV2,Khong,Khong,3.75,5.5,6.5,8.75,NA,NA,NA,6.25,NA,NA,NA,NA,NA
TMA010987,Phan Van Kien,3/26/1997,KV2-NT,Khong,Khong,7.25,5,5.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
BKT085669,Vu Minh Kiem,5/14/1997,KV2,Khong,Khong,6.75,6.25,6.5,7,NA,NA,NA,7.5,NA,NA,NA,NA,NA
SPB060619,Dang Thi Quan,7/1/1997,KV1,Khong,Khong,8.25,8.25,3.75,NA,NA,NA,8.25,4.25,NA,NA,NA,NA,NA
ABC059884,Nguyen Van Cao,2/28/1997,KV2,Khong,Khong,8,5,8.25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
CON062475,Nguyen Van Hue,2/19/1997,KV2,Khong,Khong,8.25,6.5,3.5,NA,NA,9,NA,7.25,NA,NA,NA,NA,NA
TLA007374,Dang Thi Sang,3/30/1997,KV2,Khong,Khong,6.75,6,6,8,NA,NA,7.5,3.75,NA,NA,NA,NA,NA
KTA062849,Hoang Van Hoa,7/11/1997,KV2-NT,Khong,Khong,6,8,NA,6,NA,NA,NA,8,NA,NA,NA,NA,NA
BKT069561,Le Thi Nga,4/2/1997,KV2,Khong,Khong,6.5,5.25,5.5,NA,NA,8.5,9,3.5,NA,NA,NA,NA,NA
TLA046456,Tran Thi Kiem,9/24/1997,KV2,Khong,Khong,3.5,8.25,5.75,5.5,NA,NA,NA,7,NA,NA,NA,NA,NA
ABC055674,Le Van Hue,3/12/1997,KV3,Khong,Khong,6.5,6.75,7.5,6.25,NA,NA,NA,6.25,NA,NA,NA,NA,NA
TLA000338,Vu Van Ha,9/27/1997,KV3,Khong,Khong,5.5,4.25,7.25,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
TLA094437,Pham Van Nga,5/22/1997,KV1,NDT1,Khong,7.5,7.5,5.75,5.5,NA,NA,8,2.75,NA,NA,NA,NA,NA
SPB074377,Tran Van Anh,10/2/1997,KV1,Khong,Khong,4.75,4,6.5,NA,NA,NA,8.75,6.75,NA,NA,NA,NA,NA
KTA068480,Le Van Hoa,1/18/1997,KV2-NT,Khong,Khong,5.75,6.75,8.5,5.5,NA,7.75,NA,2,NA,NA,NA,NA,NA
BKT011891,Le Thi Sang,8/5/1997,KV2,Khong,Khong,6.75,6.5,7.5,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC034214,Nguyen Van Kien,7/23/1997,KV2-NT,Khong,Khong,4.75,3.25,5.5,7.5,NA,7.75,NA,7.75,NA,NA,NA,NA,NA
ABC012612,Nguyen Xuan Tuan,2/7/1997,KV2,Khong,Khong,7,6.5,8,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPB065236,Do Van Hai,10/24/1997,KV2,Khong,Khong,5.5,5,6.5,6.75,NA,NA,6.5,NA,NA,NA,NA,NA,NA
CON007797,Hoang Van Hue,5/19/1997,KV2-NT,Khong,Khong,5.75,4,6.75,8.25,NA,NA,NA,7,NA,NA,NA,NA,NA
BKT058487,Le Van Giang,8/26/1997,KV2-NT,NDT2,Khong,6.75,6.5,NA,6.75,NA,NA,NA,7,NA,NA,NA,NA,NA
SPB034419,Le Van Anh,8/23/1997,KV3,Khong,Khong,6.25,4.5,6.75,8.25,4.5,NA,NA,7.5,NA,NA,NA,NA,NA
ABC092345,Nguyen Xuan Thang,10/13/1997,KV2-NT,Khong,Khong,5.75,4.25,7.5,6.75,NA,6.25,NA,NA,NA,NA,NA,NA,NA
ABC059577,Hoang Van Hue,11/4/1997,KV2,Khong,Khong,6.5,7.5,6.5,6.25,NA,NA,4.5,4.75,NA,NA,NA,NA,NA
CON032273,Nguyen Van Tuan,6/8/1997,KV2-NT,Khong,Khong,8.25,6,NA,7.5,NA,NA,NA,6.25,NA,NA,NA,NA,NA
BKT037960,Le Thi Sang,8/27/1997,KV2-NT,Khong,Khong,5.25,5,7.75,7.5,NA,NA,NA,6,NA,NA,NA,NA,NA
BKT074337,Le Thi Nga,1/28/1997,KV2,Khong,Khong,6.5,NA,6.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPB095626,Hoang Van Anh,5/14/1997,KV2-NT,Khong,Khong,6,7.5,6.75,NA,NA,NA,7.5,4,NA,NA,NA,NA,NA
TMA011607,Bui Van Khoa,9/25/1997,KV2-NT,Khong,Khong,6.75,3.5,6.5,8.25,NA,NA,5.5,6.75,NA,NA,NA,NA,NA
TMA055084,Nguyen Thi Hue,3/31/1997,KV2,Khong,Khong,7.25,7.25,7.5,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA
CON024537,Ho Thi Cao,10/31/1997,KV2-NT,Khong,Khong,7.75,NA,6.25,4.25,NA,2.5,9,7,NA,NA,NA,NA,NA
TMA047021,Nguyen Van Khoa,12/21/1997,KV2-NT,Khong,Khong,6.75,6.5,5.75,6.5,NA,6.25,4.5,NA,NA,NA,NA,NA,NA
BKT019852,Tran Minh Giang,8/24/1997,KV2-NT,Khong,Khong,7,5.5,5.75,6.25,NA,5.75,6,NA,NA,NA,NA,NA,NA
BKT027122,Nguyen Van Sang,4/1/1997,KV2,Khong,Khong,3.5,6.5,6,7.75,NA,NA,NA,6.75,NA,NA,NA,NA,NA
TLA069130,Nguyen Thi Hoa,8/27/1997,KV2,NDT1,Khong,6.25,4.5,8.5,8,NA,NA,4.75,NA,NA,NA,NA,NA,NA
SPB078967,Pham Thi Thang,11/4/1997,KV2-NT,NDT2,Khong,5.25,5.5,6.5,8.75,NA,NA,7.5,4.5,NA,NA,NA,NA,NA
TLA050588,Nguyen Van Hai,10/30/1997,KV2-NT,Khong,Khong,4,6.25,7.25,NA,6,8,NA,7.25,NA,NA,NA,NA,NA
SPB046380,Le Van Kien,5/5/1997,KV2-NT,Khong,Khong,7.25,6,6.75,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA
TLA078480,Nguyen Thi Tuan,2/4/1997,KV1,NDT1,Khong,6.25,6.25,NA,9.5,NA,NA,NA,3.75,NA,NA,NA,NA,NA
TMA048687,Nguyen Thi Giang,10/3/1997,KV2-NT,Khong,Khong,7.75,8.5,5.75,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPB029017,Le Thi Khoa,5/24/1997,KV2,Khong,Khong,8.25,3,7,NA,NA,NA,NA,5.75,NA,NA,NA,NA,NA
TLA014538,Nguyen Van Ha,7/28/1997,KV2,Khong,Khong,5.75,5,NA,7.75,5.25,NA,NA,6.5,NA,NA,NA,NA,NA
KTA063202,Vu Thi Anh,4/23/1997,KV3,Khong,Khong,7.25,6,4.5,6.5,NA,NA,NA,5.75,NA,NA,NA,NA,NA
TLA041422,Tran Thi Quan,8/5/1997,KV2,Khong,Khong,6.75,6.75,6.25,NA,7.5,NA,NA,4,NA,NA,NA,NA,NA
BKT097584,Vu Van Hung,5/9/1997,KV2,Khong,Khong,4,7,6.5,8.25,NA,NA,5.25,NA,NA,NA,NA,NA,NA
ABC031561,Nguyen Thi Giang,4/1/1997,KV2,Khong,Khong,7,NA,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
KTA001854,Nguyen Thi Khoa,11/30/1997,KV1,Khong,Khong,8,4,6.75,7.75,6,NA,NA,NA,NA,NA,NA,NA,NA
CON048315,Tran Van Nguyet,7/10/1997,KV1,Khong,Khong,5.5,6.5,5.75,8.5,NA,NA,NA,4.25,NA,NA,NA,NA,NA
TMA080424,Ho Hai Hoa,8/7/1997,KV3,Khong,Khong,6,7.5,7.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLA099425,Pham Thi Hai,7/22/1997,KV2,Khong,Khong,3,5.75,6.25,NA,NA,NA,5.5,9.5,NA,NA,NA,NA,NA
SPB025207,Vu Dang Hung,6/7/1997,KV2,Khong,Khong,7,5.25,5,4.75,NA,NA,9.25,5,NA,NA,NA,NA,NA
CON012559,Dang Van Nga,9/6/1997,KV1,Khong,Khong,8.25,6.75,6.75,5,NA,8,NA,5.25,NA,NA,NA,NA,NA
KTA006559,Nguyen Van Cao,7/25/1997,KV2-NT,Khong,Khong,2.75,6.75,7.5,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
KTA018736,Hoang Thi Hung,11/10/1997,KV2,NDT2,Khong,8.25,5.5,NA,5.75,4.5,NA,NA,5.5,NA,NA,9,NA,NA
KTA068663,Le Van Sang,11/5/1997,KV2-NT,Khong,Khong,4.5,7,7.5,NA,7.5,4.75,NA,6.5,NA,NA,NA,NA,NA
TLA026834,Tran Van Hue,12/31/1997,KV2,Khong,Khong,7.25,6.5,5.5,7.5,NA,NA,NA,7.25,NA,NA,NA,NA,NA
BKT057504,Ngo Van Cao,12/2/1997,KV2-NT,Khong,Khong,7,6.5,7,NA,NA,NA,NA,6.25,NA,NA,NA,NA,NA
TMA043489,Vu Thi Dung,4/4/1997,KV2,Khong,Khong,6.75,6,NA,7.25,NA,NA,7.25,6.75,NA,NA,NA,NA,NA
SPB017163,Nguyen Dang Dung,12/11/1997,KV2,Khong,Khong,6,NA,NA,7.5,7,NA,NA,NA,NA,NA,NA,NA,NA
BKT094787,Duong Thi Sang,2/16/1997,KV2,Khong,Khong,1.75,6,7.5,7,NA,NA,7.25,6.75,NA,NA,NA,NA,NA
BKT076151,Nguyen Thi Giang,12/26/1997,KV2-NT,Khong,Khong,5.5,5.5,NA,8.5,NA,NA,NA,8.25,NA,NA,NA,NA,NA
TLA047400,Hoang Thi Sang,10/10/1997,KV3,Khong,Khong,7,6.75,7.25,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
SPB054237,Hoang Thi Khoa,7/2/1997,KV1,Khong,Khong,8.75,4.75,NA,7,NA,5.25,8.25,2.75,NA,NA,NA,NA,NA
BKT038986,Tran Xuan Kiem,12/21/1997,KV3,Khong,Khong,7.25,5.5,5.25,7.25,4.75,NA,5.75,8,NA,NA,NA,NA,NA
SPB005049,Nguyen Van Nguyet,3/5/1997,KV2-NT,Khong,Khong,8,6.25,NA,8.5,NA,NA,NA,3,NA,NA,NA,NA,NA
TMA084371,Nguyen Thi Quan,10/11/1997,KV2-NT,Khong,Khong,6,7,5.5,NA,NA,8.5,NA,7,NA,NA,NA,NA,NA
TMA028168,Nguyen Thi Phuong,2/17/1997,KV3,Khong,Khong,7.75,8,NA,7,4,NA,NA,7.75,NA,NA,NA,NA,NA
TMA008161,Nguyen Van Sang,9/8/1997,KV2-NT,Khong,Khong,6.5,7.5,5,NA,NA,NA,6,8,NA,NA,NA,NA,NA
TLA086573,Nguyen Thi Sang,7/21/1997,KV2,Khong,Khong,6,5.75,7,8.5,NA,NA,7,NA,NA,NA,NA,NA,NA
KTA086658,Le Thi Huong,2/28/1997,KV2-NT,Khong,Khong,6.25,5.25,7.25,NA,5,NA,8.25,7,NA,NA,NA,NA,NA
BKT033512,Le Minh Hao,1/27/1997,KV2-NT,Khong,Khong,7.5,5.5,2,6.5,NA,NA,NA,8.5,NA,NA,NA,NA,NA
KTA010305,Nguyen Thi Phuong,12/23/1997,KV2-NT,Khong,Khong,7.5,8.5,7,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA
KTA097980,Nguyen Dang Ha,4/27/1997,KV2-NT,Khong,Khong,7,5.5,6.25,6.75,4.5,NA,NA,NA,NA,NA,NA,NA,NA
ABC029013,Nguyen Van Khoa,7/22/1997,KV3,Khong,Khong,6.75,5.75,7.5,6.5,6.75,NA,4.25,NA,NA,NA,NA,NA,NA
TLA008331,Vu Minh Quan,11/12/1997,KV2,Khong,Khong,6,7,NA,8.5,5,NA,NA,6.5,NA,NA,NA,NA,NA
TMA075429,Nguyen Thi Anh,11/17/1997,KV3,Khong,Khong,7.25,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
BKT003862,Nguyen Van Nguyet,6/29/1997,KV2-NT,Khong,Khong,5,6.25,6.75,5.5,NA,NA,NA,8.5,NA,NA,NA,NA,NA
TLA002490,Ly Van Hue,5/20/1997,KV2-NT,Khong,Khong,9,NA,8.25,7.75,NA,NA,NA,1.75,NA,NA,NA,NA,NA
ABC085023,Do Minh Thang,8/29/1997,KV2-NT,Khong,Khong,8,NA,7.25,7.5,NA,NA,NA,3,NA,NA,NA,NA,NA
ABC031049,Dang Van Hai,2/7/1997,KV2,Khong,Khong,6.25,4.75,NA,8,NA,NA,NA,5,NA,NA,NA,NA,NA
SPB081961,Tran Van Anh,6/29/1997,KV3,NDT2,Khong,7.25,NA,4.75,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC014826,Pham Thi Sang,12/7/1997,KV1,Khong,Khong,2,5.25,6.5,8,NA,NA,NA,8.5,NA,NA,NA,NA,NA
KTA046424,Pham Van Cao,9/9/1997,KV2-NT,Khong,Khong,6.75,7.5,6.5,5,NA,NA,6.75,NA,NA,NA,NA,NA,NA
BKT070675,Tran Van Hue,11/10/1997,KV2,Khong,Khong,7,6.5,NA,7.25,NA,NA,NA,3.5,NA,NA,NA,NA,NA
TMA004044,Nguyen Thi Kien,3/13/1997,KV2,Khong,Khong,7,NA,6,8.5,NA,NA,NA,5.75,NA,NA,NA,NA,NA
SPB007511,Vu Van Thang,2/13/1997,KV2,Khong,Khong,5.25,4.75,6.25,7.75,NA,NA,6,NA,NA,NA,NA,NA,NA
TMA024911,Vu Hai Huong,11/23/1997,KV1,Khong,Khong,9,5.5,NA,7.5,NA,4.5,7.5,6.5,NA,NA,NA,NA,NA
TMA044028,Le Thi Kien,4/5/1997,KV1,Khong,Khong,8,NA,6,7.25,NA,NA,NA,3.25,NA,NA,NA,NA,NA
TMA048167,Vu Thi Hai,7/31/1997,KV2-NT,Khong,Khong,7.5,5,5.5,7,NA,7.25,7,4,NA,NA,NA,NA,NA
BKT091922,Le Thi Hung,4/23/1997,KV1,Khong,Khong,7.25,NA,6.25,5.5,4.25,NA,7,NA,NA,NA,NA,NA,NA
ABC040081,Ho Dang Anh,3/1/1997,KV2-NT,Khong,Khong,7.75,NA,NA,7,NA,NA,NA,3.25,NA,NA,NA,NA,NA
ABC094672,Nguyen Van Anh,3/7/1997,KV3,Khong,Khong,6.75,6,7.5,7.5,NA,NA,NA,8.75,NA,NA,NA,NA,NA
KTA080016,Tran Thi Hai,4/28/1997,KV1,Khong,Khong,4.5,5,7.5,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
KTA066084,Nguyen Minh Phuong,10/16/1997,KV2-NT,Khong,Khong,5.25,7,7,5.25,NA,9,5.25,4,NA,NA,NA,NA,NA
SPB026571,Nguyen Hai Dung,9/1/1997,KV2-NT,Khong,Khong,4,6.5,6.75,9.5,NA,NA,NA,4.5,NA,NA,NA,NA,NA
TLA056354,Tran Van Kien,4/18/1997,KV2-NT,Khong,Khong,7,6,7,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA
CON026343,Tran Van Quan,12/13/1997,KV2-NT,Khong,Khong,6.25,NA,6.75,7.25,NA,7.75,6,2.25,NA,NA,NA,NA,NA
ABC033507,Vu Thi Dung,3/26/1997,KV1,Khong,Khong,6.5,4,7.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLA048319,Hoang Thi Dung,10/11/1997,KV2,Khong,Khong,7.25,6.25,7,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
KTA009463,Hoang Thi Hoa,2/26/1997,KV2,Khong,Khong,6.5,5.75,6.75,NA,NA,NA,7.25,3.75,NA,NA,NA,NA,NA
KTA093502,Nguyen Hai Anh,4/10/1997,KV3,Khong,Khong,2,5,NA,7.75,NA,NA,7.25,8.5,NA,NA,NA,NA,NA
SPB096075,Nguyen Thi Phuong,3/31/1997,KV2-NT,Khong,Khong,2.25,6.5,8.5,7.5,6.5,NA,7,4,NA,NA,NA,NA,NA
SPB036396,Hoang Thi Thang,4/12/1997,KV2-NT,Khong,Khong,9,6.25,3.75,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA
BKT018630,Tran Van Thang,12/15/1997,KV2,NDT1,Khong,7.5,7.75,6.5,NA,7,NA,NA,5.75,NA,NA,NA,NA,NA
ABC087640,Ho Van Ha,12/14/1997,KV2-NT,Khong,Khong,7,6,6,7.5,NA,6.25,NA,4.25,NA,NA,NA,NA,NA
ABC090632,Nguyen Van Anh,11/19/1997,KV2,Khong,Khong,7.5,6.25,6.5,4,NA,NA,7.25,NA,NA,NA,NA,NA,NA
SPB065425,Le Thi Kien,11/19/1997,KV2,Khong,Khong,4.75,5.5,8,7.25,NA,NA,9.5,3.25,NA,NA,NA,NA,NA
SPB078760,Pham Van Kiem,4/30/1997,KV2-NT,Khong,Khong,7.75,3.25,7,6.75,7,NA,NA,9.25,NA,NA,NA,NA,NA
KTA044557,Tran Thi Kiem,6/21/1997,KV2-NT,Khong,Khong,5.75,4.5,8.75,7,NA,NA,NA,4,NA,NA,NA,NA,NA
TLA091334,Vu Thi Giang,3/19/1997,KV3,Khong,Khong,8.25,7.25,NA,7.5,NA,NA,7.25,2.75,NA,NA,NA,NA,NA
KTA084301,Vu Thi Hao,10/3/1997,KV2-NT,Khong,Khong,8,6,6.25,7,NA,NA,7.5,3.25,NA,NA,NA,NA,NA
SPB021869,Tran Van Hoa,8/22/1997,KV2,Khong,Khong,5.5,NA,6.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLA018378,Nguyen Van Tuan,4/9/1997,KV2-NT,Khong,Khong,7.25,6.25,NA,6.25,4.5,NA,NA,NA,NA,NA,NA,NA,NA
ABC061901,Nguyen Thi Nga,9/30/1997,KV2-NT,Khong,Khong,7.75,5.75,NA,7.25,8.5,NA,NA,2.5,NA,NA,NA,NA,NA
SPB032174,Hoang Thi Hung,2/24/1997,KV1,Khong,Khong,7.25,7.75,5.5,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
CON020768,Pham Van Hoa,6/5/1997,KV2-NT,Khong,Khong,4.75,5.25,7.5,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA
KTA054136,Pham Thi Anh,1/30/1997,KV3,NDT2,Khong,7.25,5.5,NA,8.25,NA,NA,NA,5.5,NA,NA,NA,NA,NA
ABC094284,Nguyen Thi Ha,1/7/1997,KV2-NT,NDT1,Khong,6.5,4.75,6.75,6.75,5.25,8.5,NA,6.75,NA,NA,NA,NA,NA
CON008337,Nguyen Thi Giang,1/5/1997,KV2,Khong,Khong,6.5,6.5,6.25,NA,NA,NA,7.75,4.25,NA,NA,NA,NA,NA
TMA074752,Le Thi Kien,2/27/1997,KV2-NT,Khong,Khong,7.5,5.5,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
TLA024085,Hoang Van Nguyet,4/19/1997,KV2,Khong,Khong,6,7.5,NA,NA,NA,NA,NA,6.25,NA,NA,NA,NA,NA
SPB060947,Bui Thi Dung,1/23/1997,KV2-NT,Khong,Khong,7.25,5.5,5.5,7.75,NA,NA,NA,4.5,NA,NA,NA,NA,NA
TLA090812,Nguyen Van Cao,3/7/1997,KV2-NT,Khong,Khong,3.75,7.25,5.5,8.5,NA,NA,5.5,NA,NA,NA,NA,NA,NA
TLA054786,Nguyen Van Tuan,11/16/1997,KV2-NT,Khong,Khong,6,6.5,8.75,7.5,NA,7.25,5.75,3.5,NA,NA,NA,NA,NA
SPB049413,Nguyen Minh Phuong,1/15/1997,KV1,Khong,Khong,6.75,6,7.25,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
KTA094964,Le Van Huong,9/14/1997,KV2-NT,Khong,Khong,6,5.75,6.25,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
BKT016856,Nguyen Thi Sang,1/12/1997,KV1,Khong,Khong,6.5,5.25,4.75,NA,NA,NA,7,7,NA,NA,NA,NA,NA
ABC047413,Nguyen Van Thang,8/17/1997,KV3,Khong,Khong,5,6.75,7.5,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
KTA090658,Dang Thi Giang,8/19/1997,KV2,Khong,Khong,7.5,7,NA,7.5,7.25,NA,NA,3,NA,NA,NA,NA,NA
CON024411,Tran Thi Kiem,4/17/1997,KV3,Khong,Khong,5.75,7.75,4.5,7.75,NA,NA,7.25,3.75,NA,NA,NA,NA,NA
BKT035150,Nguyen Thi Ha,8/16/1997,KV2-NT,Khong,Khong,7,5.25,4,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLA081343,Phan Van Tuan,8/19/1997,KV3,Khong,Khong,6.75,7,7.25,6.75,NA,2.5,NA,NA,NA,NA,NA,NA,NA
TLA094524,Le Thi Anh,6/30/1997,KV2-NT,Khong,Khong,7.5,7,NA,NA,NA,NA,NA,3.75,NA,NA,NA,NA,NA
TLA056821,Ngo Thi Nga,11/10/1997,KV1,Khong,Khong,6,NA,6.5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
ABC082825,Vu Thi Hao,4/5/1997,KV2-NT,Khong,Khong,8.5,7,6.75,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
KTA028205,Tran Thi Khoa,7/7/1997,KV3,Khong,Khong,6.5,7.5,6.75,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA
SPB016293,Nguyen Hai Kiem,9/28/1997,KV2-NT,Khong,Khong,7.5,4.75,NA,6.5,NA,NA,NA,5.25,NA,NA,NA,NA,NA
ABC051606,Nguyen Van Dung,10/12/1997,KV2-NT,Khong,Khong,8.5,6.25,NA,NA,NA,5.25,NA,4.75,NA,NA,NA,NA,NA
SPB067432,Tran Van Cao,10/28/1997,KV2-NT,Khong,Khong,8.25,NA,NA,4,8.25,NA,NA,5.25,NA,NA,NA,NA,NA
SPB084726,Tran Van Tuan,8/23/1997,KV2,Khong,Khong,7.5,NA,NA,7.25,NA,5.25,NA,4.25,NA,NA,NA,NA,NA
KTA028070,Tran Van Kiem,7/25/1997,KV3,Khong,Khong,4.5,NA,6.75,8,5.5,NA,6.5,4.75,NA,NA,NA,NA,NA
TMA078083,Nguyen Thi Kien,3/4/1997,KV1,Khong,Khong,3.75,6.5,NA,6,NA,NA,9.5,5,NA,NA,NA,NA,NA
SPB057946,Le Van Huong,5/5/1997,KV2,Khong,Khong,6.5,7,6.25,5.75,NA,NA,7,5,NA,NA,NA,NA,NA
KTA050632,Tran Thi Kien,1/1/1998,KV2,NDT2,Khong,8.25,7,NA,8.25,5.75,NA,NA,4.5,NA,NA,NA,NA,NA
TMA098169,Nguyen Van Hue,11/25/1997,KV2-NT,Khong,Khong,7.75,6.25,3.75,5.5,9,8,4.5,5.75,NA,NA,NA,NA,NA
TMA096387,Pham Thi Khoa,12/14/1997,KV2-NT,Khong,Khong,7.25,NA,7,8,7.5,NA,NA,3.5,NA,NA,NA,NA,NA
CON034382,Ly Van Dung,9/18/1997,KV2-NT,Khong,Khong,3.75,5.75,6.75,8,NA,NA,6.5,8,NA,NA,NA,NA,NA
CON061834,Nguyen Hai Hai,10/13/1997,KV2-NT,Khong,Khong,7,NA,6.5,NA,NA,NA,NA,5.75,NA,NA,NA,NA,NA
BKT010032,Nguyen Xuan Phuong,10/31/1997,KV2,Khong,Khong,8.25,7,5.75,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA
SPB047525,Pham Thi Tuan,3/5/1997,KV2-NT,Khong,Khong,6.5,8.25,8.25,NA,4,NA,NA,4.75,NA,NA,NA,NA,NA
TLA071993,Le Van Hai,1/16/1997,KV2,Khong,Khong,6.75,6.75,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
TLA088836,Hoang Van Hao,9/24/1997,KV2,Khong,Khong,6.25,5.75,NA,6.25,NA,7.25,NA,6,NA,NA,NA,NA,NA
KTA050983,Le Minh Tuan,10/26/1997,KV3,Khong,Khong,6.75,5.25,3.5,7.5,4.75,NA,NA,8.25,NA,NA,NA,NA,NA
TLA040336,Nguyen Nhu Hao,9/23/1997,KV3,Khong,Khong,6.75,7,6.5,NA,5,NA,8,3.75,NA,NA,NA,NA,NA
ABC017194,Hoang Van Hai,9/30/1997,KV2,Khong,Khong,7.5,NA,5,NA,NA,NA,9.75,3.5,NA,NA,NA,NA,NA
SPB097120,Nguyen Thi Quan,10/23/1997,KV3,Khong,Khong,7.75,4,5.5,NA,NA,NA,NA,8.25,NA,NA,NA,NA,NA
KTA031392,Nguyen Van Hoa,11/16/1997,KV3,Khong,Khong,6.25,8,5.75,8,NA,NA,NA,7.75,NA,NA,NA,NA,NA
TMA034459,Nguyen Thi Tuan,3/6/1997,KV2-NT,Khong,Khong,7.25,6,7.25,NA,NA,6,6,4.75,NA,NA,NA,NA,NA
BKT092268,Hoang Thi Khoa,6/28/1997,KV2-NT,Khong,Khong,7,5,6.5,6.75,8.5,NA,NA,2.75,NA,NA,NA,NA,NA
TLA082603,Pham Thi Hai,10/3/1997,KV2,Khong,Khong,3.25,7,7,5.5,6.75,NA,8.25,4.75,NA,NA,NA,NA,NA
CON036873,Hoang Van Dung,3/4/1997,KV2,Khong,Khong,7,6.75,4.25,NA,9.25,NA,NA,4,NA,NA,NA,NA,NA
BKT046910,Nguyen Van Nguyet,10/31/1997,KV1,Khong,Khong,6.25,6.25,7,7.5,NA,NA,9,2.5,NA,NA,NA,NA,NA
TLA019146,Phan Thi Giang,11/13/1997,KV2-NT,Khong,Khong,6.25,6.75,8.5,8.25,3.5,NA,NA,NA,NA,NA,NA,NA,NA
CON005190,Vu Nhu Sang,9/23/1997,KV2-NT,Khong,Khong,5.25,5.25,7,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
TLA060750,Pham Van Tuan,1/27/1997,KV2,Khong,Khong,5.5,7.5,6.75,7.25,NA,NA,NA,5.5,NA,NA,NA,NA,NA
SPB019869,Vu Minh Hoa,12/1/1997,KV2-NT,Khong,Khong,9,7,9.25,8,NA,2.5,4,3.25,NA,NA,NA,NA,NA
TLA081913,Phan Thi Phuong,4/18/1997,KV2,Khong,Khong,5.75,5.75,6.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
CON013216,Nguyen Van Tuan,10/24/1997,KV3,Khong,Khong,7,5.5,6.25,8.5,7.25,NA,NA,8,NA,NA,NA,NA,NA
TLA022135,Pham Van Nga,6/23/1997,KV3,Khong,Khong,6.75,6.75,7.25,9.25,NA,5.75,6.75,3.5,NA,NA,NA,NA,NA
ABC075389,Nguyen Thi Dung,10/13/1997,KV2-NT,Khong,Khong,4.75,6.75,8.25,NA,5.5,NA,NA,6,NA,NA,NA,NA,NA
BKT015351,Phan Van Hao,9/12/1997,KV3,Khong,Khong,7.25,NA,6.5,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC028197,Nguyen Van Huong,11/15/1997,KV1,Khong,Khong,7,NA,7.25,6,NA,NA,6.5,NA,NA,NA,NA,NA,NA
TMA052532,Nguyen Van Anh,8/26/1997,KV2,Khong,Khong,5.75,7,7.5,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA
